revenue_sum,l_orderkey,o_orderdate,o_shippriority
39799.9008,41185,1994-12-07,0
35705.18,41895,1995-01-11,0
68261.7336,43110,1995-02-07,0
16427.2581,43201,1995-03-04,0
226569.96659999999,44418,1995-02-01,0
9675.4105,45189,1994-12-12,0
38915.167199999996,45350,1995-01-04,0
171187.79919999998,45543,1995-02-03,0
48647.385,45829,1995-03-13,0
269115.89509999997,46115,1995-03-03,0
94331.50679999999,46116,1995-01-08,0
156799.232,46307,1995-02-07,0
161380.4148,46755,1995-02-07,0
193868.6129,47015,1995-02-14,0
15981.8208,47076,1995-01-08,0
273370.8953,47525,1995-03-04,0
78599.7,47617,1994-12-09,0
97263.9264,47650,1995-02-06,0
4561.86,48710,1994-11-26,0
182861.2224,49312,1995-02-22,0
278324.8728,50145,1995-02-27,0
130119.9616,50208,1995-01-23,0
66593.44260000001,50275,1994-12-06,0
202202.87600000002,51461,1995-02-11,0
180978.317,51777,1995-02-20,0
127158.25739999999,51975,1994-12-19,0
13936.4556,52103,1994-12-24,0
137047.28519999998,52486,1995-01-05,0
18876.0448,53634,1995-02-22,0
186932.9264,55075,1995-02-02,0
195563.3691,55808,1995-02-15,0
44022.327000000005,56711,1995-02-07,0
62634.3978,57029,1995-03-09,0
76650.417,57217,1995-01-22,0
83003.454,57378,1994-12-29,0
185862.8338,58117,1995-02-21,0
3676.2908,58341,1995-02-09,0
78709.3734,58500,1995-02-15,0
148161.7887,59047,1995-01-29,0
17378.7124,59297,1994-12-10,0
15423.6096,59686,1995-03-09,0
113490.0528,59809,1995-03-09,0
50494.5943,60450,1995-01-10,0
19373.212,60672,1994-12-08,0
154768.0243,61411,1995-02-08,0
75688.7646,62113,1994-12-07,0
43620.12,62338,1995-01-20,0
47321.456,63141,1995-01-12,0
106145.0468,63456,1995-01-05,0
143866.78209999998,63815,1995-02-07,0
149101.3623,64005,1995-03-08,0
2239.722,64038,1994-12-28,0
121420.90359999999,64199,1995-02-15,0
175301.87519999998,64293,1995-03-10,0
182465.72220000002,64897,1995-02-16,0
114494.5152,66150,1995-01-19,0
85334.63680000001,66215,1995-01-14,0
29867.6707,66434,1995-01-10,0
17413.487999999998,66567,1994-12-11,0
23604.9,7426,1995-01-17,0
131961.77719999998,21442,1994-12-26,0
169765.18420000002,66981,1995-02-05,0
11630.92,67109,1995-01-17,0
50209.9257,67393,1994-12-23,0
77719.6134,68550,1995-01-05,0
231929.6077,68644,1995-02-01,0
31530.3534,68675,1995-02-20,0
69824.4311,68802,1995-01-25,0
14653.08,68963,1994-12-03,0
73273.97499999999,69345,1994-12-07,0
2926.7657999999997,70148,1995-01-28,0
30650.0684,70692,1994-12-27,0
124634.83139999998,70695,1995-01-11,0
10390.5,71399,1995-02-15,0
78400.1156,72257,1995-01-15,0
64180.62909999999,72577,1995-02-05,0
38121.294,73985,1995-02-17,0
202224.7238,74016,1995-03-11,0
111658.80470000001,75169,1995-01-23,0
169812.05699999997,75714,1995-02-25,0
31037.449999999997,76770,1994-12-10,0
5478.0264,78212,1995-01-27,0
100646.7531,78499,1995-02-22,0
86713.81,79334,1995-03-13,0
48628.642400000004,80002,1994-11-26,0
261961.4762,80549,1995-01-23,0
162036.5664,81120,1995-02-25,0
24528.095999999998,56608,1994-11-19,0
170179.53340000001,81764,1995-02-15,0
102632.9799,82240,1995-02-14,0
106970.1228,82404,1995-01-18,0
164621.8026,82432,1995-03-04,0
18743.743199999997,82851,1994-12-22,0
96903.12160000001,84512,1995-01-16,0
23420.8773,84711,1994-12-29,0
15931.4355,84870,1995-01-21,0
119795.6446,85507,1995-02-19,0
79691.5224,86086,1994-12-11,0
27798.5277,86370,1994-12-06,0
43203.888,87490,1995-02-17,0
173604.3246,87681,1995-02-13,0
162361.25149999998,87811,1995-02-14,0
66684.3314,88131,1995-01-24,0
12116.6017,88866,1995-02-04,0
175352.0943,88962,1995-02-28,0
44135.145699999994,89255,1995-01-14,0
18507.744000000002,89313,1995-01-24,0
113565.94649999999,89383,1995-01-29,0
110860.59740000001,90276,1995-03-04,0
81243.25319999999,90534,1995-01-26,0
46164.129,90759,1994-12-11,0
4922.643300000001,91623,1995-03-07,0
41222.72,91875,1994-12-29,0
22147.9485,92612,1995-02-17,0
261152.2102,93671,1995-03-03,0
253351.8948,94113,1995-03-11,0
1941.2820000000002,94307,1995-01-20,0
275486.588,94432,1995-01-19,0
72786.7722,96034,1994-12-30,0
51838.059,96416,1994-12-14,0
11752.205399999999,96646,1994-11-29,0
45896.1503,97057,1995-03-14,0
270217.0762,97830,1995-03-04,0
266789.34609999997,98279,1995-03-09,0
100711.6566,99106,1994-12-30,0
46179.817200000005,99300,1994-12-28,0
172714.0064,100385,1995-01-30,0
51134.566999999995,101668,1994-12-27,0
119681.29440000001,102240,1994-12-17,0
176360.1608,102656,1995-03-04,0
122515.73419999999,102944,1995-02-11,0
222624.5272,105221,1995-03-04,0
71570.6495,106690,1995-03-06,0
83336.6105,106819,1994-12-25,0
229720.8854,107010,1995-02-22,0
65242.09440000001,107076,1995-02-16,0
270064.0758,108421,1995-01-30,0
45612.0912,108453,1994-12-28,0
229577.1624,109188,1995-03-14,0
44657.811,109922,1994-11-30,0
9964.188,110917,1994-11-25,0
20948.352,111648,1995-01-01,0
31631.391000000003,112612,1995-01-30,0
41429.565599999994,113220,1994-12-19,0
89543.817,113475,1995-03-04,0
45263.04120000001,113539,1995-01-16,0
37449.2052,114214,1994-12-11,0
150097.35499999998,114343,1995-02-09,0
44066.7864,114439,1995-02-21,0
126099.155,114723,1995-02-07,0
233446.60270000002,115334,1995-02-17,0
183890.0945,115808,1995-02-27,0
92872.9494,116327,1994-12-11,0
27557.79,116450,1994-12-26,0
12237.0248,116998,1994-12-14,0
153301.2069,117381,1995-01-21,0
35167.703199999996,117989,1995-02-10,0
263036.9984,118151,1995-02-23,0
27853.425600000002,118401,1995-01-20,0
42186.473999999995,119812,1995-01-11,0
75765.1488,120103,1994-12-10,0
24811.300799999997,120231,1994-12-25,0
131506.6196,120677,1995-01-28,0
110232.644,121088,1995-01-17,0
29810.484000000004,121760,1995-02-20,0
159863.8148,122853,1995-02-08,0
51154.092000000004,123328,1994-12-30,0
7326.84,123367,1994-12-24,0
51082.389,125188,1994-12-01,0
90996.6483,125472,1995-01-09,0
34234.2294,126020,1995-02-20,0
55381.3837,126467,1994-12-12,0
77007.1032,126497,1995-01-06,0
45646.9398,126949,1995-03-13,0
13733.9631,127333,1995-01-07,0
82279.178,127493,1995-01-27,0
1540.8741,127971,1995-01-07,0
54105.03,128450,1994-12-05,0
187991.5935,128579,1995-03-06,0
107250.1964,129253,1994-12-22,0
182645.2277,129475,1995-02-20,0
10839.4596,129668,1995-01-08,0
53952.146,130179,1994-12-28,0
30802.3209,130371,1994-12-18,0
21249.8958,130657,1995-02-03,0
305761.8014,130787,1995-02-03,0
1734.3144,130853,1995-01-10,0
38217.9612,131303,1994-12-08,0
112910.1584,131463,1995-02-20,0
47731.0561,131879,1994-12-18,0
291101.5012,132774,1995-02-27,0
67048.7556,133412,1995-02-19,0
43463.6304,303042,1995-02-16,0
22099.527,303204,1994-12-30,0
328213.1622,303360,1995-03-14,0
52620.2514,304032,1994-12-21,0
106402.6068,304385,1994-12-14,0
64228.2382,304871,1994-12-13,0
7082.945099999999,305284,1994-12-29,0
66243.82800000001,305570,1995-01-15,0
94347.1008,307495,1995-02-20,0
121992.9658,307685,1995-01-25,0
93468.7616,308293,1995-01-08,0
127552.7742,308355,1994-12-11,0
127713.8754,308611,1995-02-09,0
36716.6925,308643,1994-12-21,0
79983.6292,309350,1995-02-17,0
312371.6537999999,311266,1995-02-17,0
56239.1565,311744,1995-01-16,0
62890.29110000001,311876,1994-12-03,0
6105.96,312134,1995-01-12,0
213664.7669,312480,1995-01-08,0
57720.936,312544,1995-03-02,0
50699.25,312900,1995-02-26,0
102402.2554,313827,1995-02-18,0
125047.07879999999,314403,1995-01-20,0
13878.657,314496,1994-12-06,0
153310.6512,314723,1995-01-25,0
20263.6764,315618,1995-02-11,0
74012.3716,315649,1995-02-22,0
104619.97699999998,316071,1995-01-12,0
111217.1312,316353,1995-02-01,0
97264.8129,316807,1995-03-07,0
72698.66619999999,317537,1995-02-03,0
68173.39199999999,318305,1994-12-01,0
126366.4365,318979,1995-02-28,0
53362.7854,320358,1995-01-08,0
133438.6876,321699,1995-01-30,0
146526.05099999998,322439,1995-01-04,0
64748.8503,325319,1995-01-25,0
45775.792199999996,325383,1995-01-26,0
252320.29080000002,325444,1995-02-24,0
67459.2235,325636,1995-02-25,0
104347.7139,325954,1995-01-04,0
35552.8446,326246,1995-01-20,0
94558.0524,327617,1994-11-24,0
145354.3042,328674,1995-01-19,0
3594.6648,329473,1995-01-14,0
86781.5128,330627,1995-01-30,0
33175.4668,330851,1995-02-17,0
78803.5575,331590,1994-12-10,0
207641.3727,331655,1995-03-03,0
60911.8927,331971,1995-02-25,0
41711.4886,332293,1995-03-06,0
147612.52409999998,332711,1995-03-06,0
99234.61279999999,332993,1995-01-07,0
168588.097,333732,1995-02-25,0
71021.9764,333952,1995-01-30,0
48355.7778,335239,1995-02-23,0
142856.2511,335428,1995-02-10,0
73354.43040000001,336227,1995-02-18,0
102588.8144,336933,1994-12-25,0
221931.00129999997,337411,1995-03-11,0
87092.7159,337568,1994-12-12,0
138836.99599999998,337606,1995-01-26,0
43098.6144,338310,1994-11-26,0
45600.5334,340000,1995-02-19,0
74437.00200000001,341024,1995-01-22,0
26194.4298,341092,1995-01-16,0
74688.3613,341154,1995-01-15,0
21248.2116,341286,1995-01-30,0
53945.549,343520,1995-02-24,0
69442.6208,343749,1994-11-25,0
161293.676,344807,1995-02-22,0
37902.4349,345378,1995-02-02,0
347632.92829999997,345664,1995-03-08,0
136684.9263,345829,1995-02-22,0
211010.1239,345956,1995-01-29,0
137953.4877,346725,1995-02-09,0
89299.35519999999,346944,1995-01-05,0
100866.249,347104,1994-12-20,0
147672.71259999997,347681,1995-02-11,0
80076.7212,347714,1994-11-23,0
115616.34059999998,347847,1994-12-29,0
59280.219000000005,349058,1994-12-21,0
80728.5,349248,1995-02-04,0
150905.5398,350214,1995-02-04,0
89983.836,350370,1995-02-28,0
239374.3311,351329,1995-02-25,0
149158.6188,351906,1995-02-10,0
133244.4165,352005,1995-01-16,0
74317.554,352131,1994-12-24,0
14484.6008,352161,1994-11-28,0
179984.1128,352676,1995-02-27,0
193529.0493,353506,1995-03-01,0
150546.8375,353574,1995-03-03,0
294533.83150000003,353922,1995-03-02,0
88015.00959999999,354023,1994-12-09,0
158956.18459999998,354055,1995-02-22,0
158780.5391,355232,1995-03-03,0
190036.07909999997,355461,1995-02-20,0
95868.4002,356102,1995-01-27,0
91275.26039999998,356164,1994-12-20,0
36004.108799999995,356450,1995-01-23,0
8462.363,356839,1995-02-22,0
216518.7086,357376,1995-03-10,0
5668.626,358434,1995-02-11,0
17919.165599999997,358851,1995-01-15,0
108116.5631,359489,1994-11-27,0
31451.247000000003,360193,1994-12-22,0
68069.9601,360289,1995-01-22,0
165044.93200000003,360578,1994-12-31,0
16673.184,360615,1995-02-01,0
303816.94409999996,360804,1995-02-23,0
238668.62869999997,361954,1995-02-27,0
56922.2988,362016,1995-02-22,0
114574.9365,362214,1994-12-29,0
92627.95259999999,362565,1994-12-05,0
101255.845,362757,1995-01-25,0
227505.9154,364197,1995-02-26,0
210621.9316,365313,1995-03-01,0
51306.6708,365633,1994-12-11,0
32523.678,365796,1994-12-04,0
77514.462,365895,1994-12-17,0
110809.46860000001,365954,1995-01-25,0
174158.5296,332739,1995-02-07,0
35962.2098,339397,1995-03-13,0
91088.385,367141,1995-02-08,0
77459.976,367716,1995-01-20,0
341547.7824,369862,1995-03-14,0
45847.418,370050,1995-02-01,0
119680.29559999998,370085,1995-02-27,0
7028.285999999999,370822,1995-02-06,0
50452.269700000004,371716,1995-02-08,0
33267.702,373859,1995-03-07,0
158625.6402,374241,1995-01-16,0
43276.993500000004,374305,1995-01-25,0
242214.5712,374308,1995-03-12,0
5438.8024,375106,1995-02-23,0
27007.2,377699,1995-02-14,0
157395.6713,377923,1995-02-21,0
128843.95999999999,378145,1995-01-24,0
15197.49,378273,1994-12-20,0
12749.556,378758,1994-12-05,0
204307.1825,379815,1995-03-14,0
120780.11639999998,380165,1995-01-20,0
170612.045,380289,1995-02-11,0
60083.24399999999,380295,1995-01-15,0
96878.7952,380514,1995-02-11,0
50214.5826,380705,1995-03-08,0
53895.155,380737,1994-12-21,0
230202.8712,381284,1995-03-13,0
83614.576,381509,1995-02-16,0
33321.9744,383141,1994-12-02,0
154998.6229,383744,1995-02-02,0
66057.264,385475,1994-12-25,0
132984.04570000002,385542,1995-03-04,0
94243.32409999998,385826,1995-01-15,0
110791.9944,386885,1995-01-27,0
36629.04,386913,1994-12-21,0
217284.8496,387009,1995-01-13,0
67631.328,387331,1995-02-20,0
36058.2,387687,1994-11-26,0
191875.2351,387746,1995-01-16,0
120279.58750000001,388418,1995-02-03,0
45405.0695,389184,1994-12-14,0
80608.608,389728,1994-12-25,0
37716.9548,390240,1994-12-29,0
33985.4004,390305,1994-12-26,0
19233.3484,390400,1994-12-22,0
161618.5748,390561,1995-02-16,0
84648.4032,391490,1995-01-28,0
40466.466,391552,1995-01-29,0
222079.92680000002,391719,1995-02-24,0
1782.672,391749,1994-12-31,0
9746.487000000001,392096,1995-03-10,0
136396.9074,392901,1995-02-26,0
139226.92609999998,393634,1995-01-26,0
8455.551,393986,1995-01-06,0
25956.6762,394658,1995-01-18,0
105047.36799999999,395137,1995-02-04,0
145004.554,396611,1995-02-13,0
14259.070800000001,398726,1994-12-08,0
24632.512,398976,1995-01-19,0
20548.444499999998,399232,1994-11-26,0
90319.65779999999,399396,1995-03-11,0
152672.6324,400100,1995-01-24,0
159916.02120000002,400263,1995-01-31,0
23431.716,400901,1995-02-10,0
167499.9058,401122,1995-02-23,0
95694.39149999998,402087,1995-01-22,0
121257.37599999999,403268,1995-02-06,0
136090.8376,403814,1994-12-30,0
359706.5697,405063,1995-03-03,0
40005.504,405444,1994-12-02,0
44423.4528,406660,1994-12-06,0
99044.21560000001,407424,1995-02-06,0
108405.7292,407654,1995-01-21,0
106782.5315,407937,1995-03-10,0
351700.17710000003,408035,1995-03-08,0
76646.53499999999,408197,1994-12-25,0
61549.7848,408357,1995-01-19,0
137098.3582,408448,1995-02-23,0
170902.0944,409575,1995-03-06,0
78086.4538,410247,1994-12-21,0
13832.4024,410661,1995-02-27,0
59905.521,411207,1995-03-13,0
159608.6578,411714,1995-01-16,0
77563.24960000001,412162,1994-12-26,0
101916.06109999999,412288,1995-03-01,0
74783.8944,412485,1995-01-12,0
32217.92,412578,1995-01-09,0
3565.977,412772,1994-12-01,0
56435.4756,414625,1995-01-13,0
84118.6176,415012,1995-03-04,0
34651.63,415328,1995-01-12,0
67333.254,415873,1995-01-07,0
26624.1276,416034,1995-02-12,0
177646.641,416736,1995-03-11,0
118636.62539999999,418274,1995-01-22,0
136681.3546,418657,1995-02-08,0
186746.3817,419523,1995-02-02,0
52769.34,419845,1995-03-14,0
112903.99339999999,420231,1995-03-11,0
16324.9254,420422,1994-12-23,0
71025.792,420516,1995-02-06,0
169892.928,420545,1995-03-05,0
132256.8644,420640,1995-03-12,0
146664.8136,421732,1994-12-14,0
73028.2657,422467,1995-01-04,0
42097.947100000005,423206,1995-02-03,0
124357.55539999998,423235,1995-03-04,0
41725.2396,423747,1995-03-09,0
11610.503999999999,424133,1995-03-06,0
14064.4,424771,1994-12-21,0
59895.5028,425346,1995-01-14,0
25522.434,425541,1995-02-15,0
129169.6751,425600,1995-01-12,0
162471.5587,425825,1994-12-27,0
59963.88659999999,426694,1994-12-27,0
238777.5565,426723,1995-01-08,0
53911.2466,427523,1995-02-04,0
27783.167999999998,428358,1995-01-16,0
122554.49949999999,428769,1994-12-11,0
85901.42020000001,429922,1995-03-03,0
123397.1428,430081,1995-03-02,0
217757.4265,431012,1995-02-16,0
270154.69460000005,431106,1995-02-23,0
25163.9325,431746,1995-02-01,0
171152.87029999998,433223,1995-02-07,0
112250.3186,433793,1995-01-12,0
191655.3748,433988,1995-03-07,0
158114.8432,434117,1995-01-18,0
226733.421,434150,1995-01-26,0
94099.476,434176,1995-01-13,0
96447.58799999999,394695,1995-01-01,0
141971.2584,397829,1995-02-22,0
46171.343400000005,434563,1995-03-01,0
30628.06,604389,1995-01-13,0
109207.491,604644,1995-02-28,0
109180.37400000001,604835,1995-03-08,0
50513.954399999995,605729,1994-12-12,0
159178.2442,606277,1995-03-09,0
65939.7648,607749,1994-12-25,0
72608.3225,607840,1994-12-04,0
62887.4747,608773,1995-01-15,0
58935.96,609378,1994-12-11,0
51245.88479999999,610017,1994-12-22,0
57071.64869999999,610084,1994-12-10,0
31785.3744,611140,1995-01-06,0
218261.179,611940,1995-02-20,0
16018.729199999998,612193,1994-12-05,0
45164.6118,612198,1995-02-07,0
53483.7699,612609,1995-03-10,0
164423.1046,612676,1995-01-22,0
20193.709799999997,613511,1995-01-18,0
69281.214,613671,1995-01-16,0
21838.5111,613826,1995-03-02,0
62040.7604,614178,1995-01-30,0
44347.3536,614627,1995-01-15,0
243355.22750000004,617315,1995-03-14,0
132330.0825,617472,1995-03-03,0
43717.50229999999,617729,1995-01-26,0
901.588,617767,1995-02-17,0
190178.76,617986,1995-02-07,0
33455.4276,621028,1995-02-15,0
119692.6728,621127,1995-01-10,0
18163.104,621799,1995-02-08,0
39558.6,622951,1994-11-30,0
74974.5024,623074,1995-01-01,0
78306.23849999999,623106,1995-01-28,0
14428.359,623140,1995-01-17,0
43778.6712,623586,1995-02-09,0
225360.27499999997,624229,1995-02-11,0
91460.48500000002,625029,1995-02-26,0
244554.11570000002,625062,1995-03-03,0
34093.729,626466,1994-12-05,0
45257.9718,626564,1995-01-15,0
61083.85079999999,628513,1995-02-27,0
97551.333,629348,1995-03-03,0
102305.1577,630145,1995-01-09,0
315180.17749999993,632292,1995-02-26,0
27075.56,633248,1995-02-09,0
34903.315200000005,633377,1995-02-22,0
24416.427000000003,634628,1994-12-04,0
27068.877,634887,1995-02-01,0
177948.56699999998,635879,1995-03-07,0
57082.3848,636323,1994-12-09,0
57596.4098,637539,1994-12-30,0
28093.575399999998,637991,1995-02-11,0
127791.9216,638083,1995-02-20,0
37663.844399999994,638087,1994-12-25,0
64254.67209999999,638722,1995-01-19,0
58372.163799999995,640704,1995-01-19,0
65501.170000000006,641191,1995-02-02,0
80395.28,641345,1995-01-01,0
17350.34,642113,1994-12-28,0
102742.4898,642471,1995-03-12,0
72691.85379999998,642598,1995-02-13,0
77664.5587,642950,1995-01-27,0
20726.630400000002,643014,1995-02-01,0
76705.5288,643041,1995-03-13,0
127418.3373,644227,1995-03-10,0
113468.4737,644517,1995-03-12,0
248389.1568,645606,1995-02-18,0
53874.56159999999,645895,1995-03-12,0
145872.7219,646086,1995-02-28,0
256606.30569999997,647234,1995-02-05,0
160077.9594,647269,1995-02-23,0
103741.1305,647463,1995-01-21,0
65102.806599999996,648034,1995-02-26,0
40414.172699999996,648836,1995-03-02,0
45769.689,648999,1994-11-28,0
103147.01789999999,649187,1994-12-10,0
15125.149600000002,650534,1995-02-04,0
103086.3972,650566,1995-02-05,0
76351.4817,650819,1994-12-30,0
40888.0128,650912,1995-01-05,0
37829.203199999996,651814,1994-11-22,0
15303.788,652132,1995-01-28,0
173991.8804,652226,1995-01-26,0
80306.4768,652928,1995-01-05,0
291494.3238,654400,1995-02-28,0
124992.0936,654407,1995-02-25,0
191614.1,654437,1995-01-22,0
157354.5826,654880,1995-03-13,0
38855.649999999994,654980,1995-01-12,0
155721.5544,655009,1994-12-07,0
50915.6828,657412,1995-02-04,0
120439.5036,659559,1995-01-02,0
215132.06159999996,659587,1995-03-04,0
144395.18819999998,659620,1994-12-21,0
16159.158,659654,1995-01-15,0
134298.0982,659683,1995-02-24,0
206475.4542,659972,1995-02-13,0
127540.10579999999,660706,1995-03-07,0
215441.6487,661190,1995-01-13,0
79757.42409999999,661249,1995-02-14,0
193895.18,661446,1995-02-27,0
155043.8352,661600,1995-03-14,0
47208.15,661602,1994-12-21,0
46066.79,661731,1994-12-16,0
48844.7232,662118,1995-03-06,0
267322.8948,662340,1995-02-26,0
74269.25140000001,662753,1994-12-20,0
64539.78899999999,663332,1995-02-05,0
146719.7856,663365,1995-01-31,0
70590.17869999999,664807,1995-03-13,0
76288.03,665442,1995-02-06,0
51768.5588,666789,1995-03-01,0
113211.90759999999,666944,1995-01-30,0
41555.735,667141,1995-02-04,0
106515.10659999998,667429,1995-02-10,0
4905.1332,668320,1994-11-29,0
147997.3264,669120,1995-01-23,0
295813.2297,669248,1995-03-11,0
123801.80359999998,669280,1995-03-08,0
184898.091,669412,1995-02-23,0
105410.2815,670050,1995-01-28,0
66254.279,670435,1994-12-13,0
4309.0176,671587,1995-01-15,0
126146.575,672771,1995-02-05,0
65522.583,673159,1995-01-03,0
14055.472199999998,673824,1995-02-02,0
127400.9558,673955,1995-02-14,0
149815.4742,675393,1995-02-23,0
72632.8463,675521,1995-02-21,0
237689.2143,675808,1995-02-28,0
141176.95679999999,676128,1995-01-31,0
39718.994999999995,676641,1995-01-15,0
60123.34,677761,1994-12-26,0
22629.8436,678436,1995-02-05,0
45542.1661,678596,1995-03-07,0
103451.20199999999,678663,1994-12-30,0
74290.74359999999,680353,1994-12-06,0
215466.09590000001,680386,1995-02-28,0
248415.63029999996,680549,1994-12-25,0
89962.1796,680775,1995-01-26,0
1168.4148,681414,1995-02-25,0
73678.696,681511,1995-01-06,0
86356.85399999999,682180,1994-12-09,0
19670.814,682276,1994-12-21,0
114275.72089999999,682693,1995-01-17,0
29417.3105,682784,1995-03-09,0
186912.3858,683264,1995-02-26,0
185964.5836,683686,1995-03-06,0
94720.7874,684416,1995-03-14,0
26207.22,684448,1995-01-11,0
181862.75079999998,684576,1995-01-16,0
94887.7776,685347,1995-03-09,0
94274.676,685348,1995-02-16,0
51120.097,686113,1995-01-22,0
41117.159999999996,686276,1995-01-06,0
56294.3628,687104,1995-01-09,0
66468.072,688675,1995-01-08,0
55705.6938,689473,1994-12-21,0
116098.2181,689509,1994-11-29,0
213748.1789,689540,1995-03-04,0
13371.722000000002,689761,1995-01-06,0
70482.6724,690370,1994-12-07,0
39373.028099999996,690625,1995-01-15,0
90651.5904,690819,1995-01-20,0
124555.633,692518,1995-02-11,0
128634.68609999999,692677,1995-01-26,0
101948.7484,693090,1995-02-17,0
65593.34,693510,1994-11-26,0
67927.8466,696135,1995-02-15,0
53442.732,696487,1995-01-01,0
49933.506299999994,697345,1995-01-04,0
73160.351,698948,1995-02-25,0
125125.1464,699490,1995-01-17,0
8580.696,699655,1995-03-14,0
199766.7956,699714,1995-01-30,0
21457.9722,699745,1994-12-17,0
72056.9932,700128,1995-01-30,0
40942.958999999995,700352,1995-01-21,0
8515.2905,700390,1994-11-17,0
112399.26199999999,700870,1995-02-16,0
159245.2753,701956,1995-01-30,0
156540.80560000002,702212,1995-01-02,0
32902.3224,702951,1994-12-31,0
210112.1666,703462,1995-02-02,0
67049.90890000001,704131,1995-02-01,0
58850.634600000005,704741,1995-03-04,0
132118.59279999998,705956,1995-01-16,0
95170.7943,706662,1995-01-06,0
123581.06869999999,706816,1995-03-08,0
48245.0148,707301,1994-12-24,0
79217.73,709222,1994-12-22,0
61911.622500000005,709671,1995-02-18,0
147893.0237,709984,1995-01-24,0
120730.04849999999,710341,1995-02-06,0
39032.235,712000,1995-02-05,0
218765.69939999998,712100,1995-02-19,0
96731.7322,712832,1995-01-26,0
17511.714,713670,1994-12-15,0
84387.6872,713760,1995-01-20,0
110605.0319,713829,1995-01-06,0
44350.761,714467,1995-01-31,0
7000.5845,714532,1995-02-06,0
114139.035,715686,1995-03-06,0
118232.6566,715687,1995-01-15,0
118769.5711,716451,1995-02-22,0
49729.609599999996,717255,1995-01-18,0
123218.44050000003,717540,1995-01-13,0
61300.8384,717861,1994-12-25,0
76029.624,718020,1995-01-03,0
102986.30110000001,719143,1995-01-22,0
40248.3808,720097,1995-01-31,0
235617.83779999998,720259,1995-02-21,0
63598.8465,720801,1995-03-10,0
131815.27240000002,720934,1995-02-15,0
130783.30339999999,721860,1995-02-07,0
38739.1944,722182,1995-01-09,0
82741.1624,722373,1995-01-17,0
177176.9661,722820,1995-03-02,0
134459.25400000002,723232,1995-01-22,0
107870.96379999998,724006,1995-03-04,0
41449.912899999996,724064,1995-03-06,0
62255.209800000004,724198,1995-03-11,0
122261.1863,724294,1994-12-02,0
127137.23810000002,724869,1995-02-26,0
80993.662,725477,1994-12-08,0
100052.6058,726086,1995-01-07,0
149788.9503,726183,1995-03-14,0
132000.0308,727141,1994-12-05,0
87173.1028,727174,1995-01-17,0
44592.2113,728933,1994-12-26,0
225251.11810000002,729794,1995-03-11,0
87071.034,730116,1994-12-24,0
80532.9161,730695,1994-12-17,0
104495.1228,731106,1995-03-03,0
34810.479,732583,1995-02-06,0
65379.45510000001,732614,1995-01-24,0
63427.412000000004,732898,1995-02-22,0
57557.56049999999,733121,1994-12-02,0
49071.528,733255,1994-12-30,0
65399.2378,733639,1995-01-01,0
86915.808,734756,1995-01-13,0
207010.114,735424,1995-03-04,0
