time,symbol,size,price,seq,bid,ask,bsize,asize,is_nbbo
6172,ZU,-0.16,-0.81,1.19,-0.04,-0.83,-1.11,-0.98,true
6177,ZU,0.29,0.65,1.19,-0.04,-0.83,-1.11,-0.98,true
6224,ZU,-0.36,0.13,1.19,-0.04,-0.83,-1.11,-0.98,true
6282,ZU,1.31,1.79,-0.28,-0.62,-1.3,-0.61,0.07,true
6382,ZU,-0.06,-0.17,-0.1,0.92,0.85,-0.19,-0.43,true
6451,ZU,0.95,-0.95,1.2,-0.99,0.36,-1.23,-0.61,true
6505,ZU,0.03,-0.11,-1.56,-0.33,-1.66,0.33,0.0,true
6520,ZU,2.34,-0.83,-1.56,-0.33,-1.66,0.33,0.0,true
6650,ZU,-2.78,0.14,-0.75,-2.26,0.78,0.29,0.22,false
6657,ZU,0.23,1.55,-0.75,-2.26,0.78,0.29,0.22,false
6823,ZU,1.33,-0.18,0.28,-0.35,1.39,-1.15,-1.87,true
7066,ZU,0.53,-1.74,-0.34,-0.93,0.09,1.28,0.01,true
7130,ZU,-0.61,1.16,1.04,0.39,-0.8,0.73,-1.31,true
7139,ZU,-0.74,-1.45,1.04,0.39,-0.8,0.73,-1.31,true
7159,ZU,-2.3,-1.18,1.04,0.39,-0.8,0.73,-1.31,true
7207,ZU,1.07,1.18,0.93,0.28,1.22,-0.1,0.68,true
7216,ZU,-2.25,-0.06,0.93,0.28,1.22,-0.1,0.68,true
7434,ZU,-1.02,0.1,0.78,-0.44,0.88,-0.4,0.52,false
7448,ZU,-0.86,0.27,0.54,0.38,-0.45,-0.32,1.18,false
7538,ZU,-0.43,-1.91,-1.51,0.85,1.12,-0.99,0.78,false
7723,ZU,2.22,0.04,-0.21,0.27,-0.34,0.25,0.53,true
7732,ZU,0.89,0.45,-0.21,0.27,-0.34,0.25,0.53,true
7828,ZU,0.7,0.97,0.21,-1.18,1.49,1.91,-0.54,true
7848,ZU,-1.12,-1.01,0.21,-1.18,1.49,1.91,-0.54,true
7953,ZU,0.31,-0.15,-0.22,-1.73,1.72,0.31,-1.39,false
8073,ZU,-0.37,1.48,-0.47,-1.13,0.28,1.13,0.35,true
8102,ZU,-0.23,0.3,-0.47,-1.13,0.28,1.13,0.35,true
8111,ZU,-0.05,-2.0,-0.47,-1.13,0.28,1.13,0.35,true
8164,ZU,0.28,-1.24,-0.53,0.33,-0.3,-1.29,-0.25,true
8182,ZU,0.44,-0.51,-0.53,0.33,-0.3,-1.29,-0.25,true
8247,ZU,-0.06,0.61,-0.53,0.33,-0.3,-1.29,-0.25,true
8374,ZU,1.38,-0.4,0.92,-1.16,-1.62,0.12,-0.48,false
8402,ZU,-0.78,0.59,-0.2,0.33,0.55,0.07,-0.43,true
8463,ZU,-0.9,0.04,-0.35,-0.36,1.5,0.71,-0.66,false
8653,ZU,1.38,0.41,0.07,1.16,-0.7,0.29,-0.22,true
8677,ZU,0.91,-1.14,0.07,1.16,-0.7,0.29,-0.22,true
8692,ZU,1.19,1.45,0.07,1.16,-0.7,0.29,-0.22,true
8693,ZU,-1.0,-1.38,0.07,1.16,-0.7,0.29,-0.22,true
9189,ZU,-1.29,-0.25,0.16,-1.65,1.08,0.59,0.79,false
9380,ZU,-0.66,-0.29,-1.16,0.48,0.56,0.0,-0.13,true
9787,ZU,-0.76,0.94,-1.51,-0.94,-0.17,1.25,1.61,false
9810,ZU,0.44,-0.44,-1.51,-0.94,-0.17,1.25,1.61,false
9860,ZU,-1.19,1.52,-1.51,-0.94,-0.17,1.25,1.61,false
9882,ZU,-0.09,-0.46,0.3,-0.3,0.37,1.66,-1.63,true
9913,ZU,0.8,0.47,0.3,-0.3,0.37,1.66,-1.63,true
9996,ZU,-3.75,-0.68,-1.23,0.93,1.04,-0.33,0.02,false
10039,ZU,0.42,-0.66,-1.23,0.93,1.04,-0.33,0.02,false
10048,ZU,2.12,0.81,0.7,0.55,-0.22,-0.03,0.25,true
10076,ZU,-0.15,1.6,0.22,-0.69,0.2,-0.84,0.04,false
10077,ZU,-0.17,0.69,0.22,-0.69,0.2,-0.84,0.04,false
10084,ZU,-0.8,-1.14,0.22,-0.69,0.2,-0.84,0.04,false
10357,ZU,-1.01,-0.3,-1.11,0.27,-0.95,0.51,0.37,true
10410,ZU,-1.52,-0.54,-0.91,-0.09,-1.29,1.06,-0.81,false
10475,ZU,-0.13,0.73,0.63,-1.5,-0.31,-0.5,-0.54,false
10480,ZU,1.88,1.53,0.63,-1.5,-0.31,-0.5,-0.54,false
10579,ZU,-0.53,0.61,2.43,-0.44,-0.92,0.15,-0.14,true
10630,ZU,0.94,0.19,2.43,-0.44,-0.92,0.15,-0.14,true
10782,ZU,-0.38,-1.1,1.13,1.41,-0.57,-0.97,1.05,true
10832,ZU,-1.04,1.02,-0.75,0.1,0.52,-0.11,-0.54,true
10913,ZU,0.84,-0.79,-0.23,-2.13,-0.07,0.83,0.62,false
10937,ZU,1.88,-0.65,-0.23,-2.13,-0.07,0.83,0.62,false
11048,ZU,0.85,-1.6,-0.93,-0.44,0.52,-0.46,0.18,false
11226,ZU,-0.51,-0.08,0.56,1.86,-0.39,-2.06,0.1,false
11397,ZU,-0.59,-1.14,-0.73,0.02,-0.84,-0.39,-0.24,false
11434,ZU,2.05,-1.13,-0.73,0.02,-0.84,-0.39,-0.24,false
11517,ZU,0.89,0.46,0.94,-1.36,-1.51,0.68,1.87,true
11624,ZU,-0.22,-0.59,-0.75,-0.99,-1.57,-0.08,-1.03,false
11691,ZU,0.15,0.22,-0.9,0.37,0.2,-0.04,0.0,true
11702,ZU,-0.23,-1.56,-0.9,0.37,0.2,-0.04,0.0,true
11743,ZU,0.4,-0.92,-0.9,0.37,0.2,-0.04,0.0,true
12164,ZU,-0.02,-0.34,2.38,-0.87,-1.31,-0.79,-1.1,true
12196,ZU,1.48,-0.97,-0.07,0.53,0.97,0.99,-1.12,true
12242,ZU,1.69,-0.13,-0.07,0.53,0.97,0.99,-1.12,true
12258,ZU,2.32,-0.02,-0.07,0.53,0.97,0.99,-1.12,true
12415,ZU,-1.61,0.03,0.68,-0.05,-0.12,-0.46,0.25,true
12466,ZU,-1.21,0.55,-0.16,1.41,-0.12,-0.9,-0.01,true
12641,ZU,2.46,0.74,-1.24,-0.16,0.17,0.6,0.03,false
13147,ZU,0.38,-0.41,-0.18,-1.05,1.9,-0.21,0.0,true
13216,ZU,1.43,0.64,0.61,3.0,0.29,-0.21,-0.55,true
13260,ZU,0.12,-0.07,0.61,3.0,0.29,-0.21,-0.55,true
13293,ZU,-1.63,-1.71,-0.88,0.82,-1.0,-1.46,-0.42,true
13322,ZU,1.62,1.14,-0.88,0.82,-1.0,-1.46,-0.42,true
13533,ZU,2.27,1.18,-0.92,0.7,-0.42,0.84,-0.35,true
13628,ZU,-0.07,-0.21,-0.69,-0.43,0.23,-0.82,0.21,true
14046,ZU,1.05,-1.04,-0.65,-0.42,2.7,-0.57,-0.53,true
14262,ZU,-0.91,0.65,-1.09,-1.2,1.36,0.11,1.89,true
14298,ZU,0.93,0.42,-1.09,-1.2,1.36,0.11,1.89,true
14406,ZU,-0.9,-0.71,0.86,2.2,1.18,-1.76,0.37,false
14466,ZU,0.01,0.8,0.86,2.2,1.18,-1.76,0.37,false
14473,ZU,-1.38,-0.29,0.86,2.2,1.18,-1.76,0.37,false
14649,ZU,0.57,0.45,-0.47,-1.13,2.59,0.53,0.98,true
14802,ZU,1.6,-0.34,0.94,1.41,0.37,0.21,-0.09,true
14841,ZU,0.59,-0.22,0.94,1.41,0.37,0.21,-0.09,true
14909,ZU,-0.02,-1.95,1.21,-0.47,0.52,-0.9,1.38,true
14935,ZU,-0.27,0.41,0.87,0.58,2.05,0.65,-0.32,true
15078,ZU,2.35,0.38,0.17,-0.66,1.03,0.65,-0.77,true
15173,ZU,-1.22,-0.83,0.17,-0.66,1.03,0.65,-0.77,true
15240,ZU,-0.83,-0.36,-1.53,-0.96,-1.7,-0.5,-0.9,true
15425,ZU,-1.63,0.06,-1.39,-1.25,0.32,1.19,-1.59,true
15433,ZU,-1.56,0.45,-1.39,-1.25,0.32,1.19,-1.59,true
15438,ZU,0.48,0.83,-1.39,-1.25,0.32,1.19,-1.59,true
15490,ZU,-2.29,-1.67,0.63,2.39,0.63,-0.68,0.88,true
15912,ZU,-0.43,-0.62,-0.26,-0.52,0.58,1.19,0.22,true
16038,ZU,0.46,-0.7,-3.35,0.67,0.39,0.89,0.71,true
16062,ZU,-1.6,-0.7,-3.35,0.67,0.39,0.89,0.71,true
16087,ZU,-0.88,1.41,-3.35,0.67,0.39,0.89,0.71,true
16298,ZU,-0.04,0.09,2.22,-0.16,0.01,0.23,1.23,false
16333,ZU,-1.55,-0.04,2.22,-0.16,0.01,0.23,1.23,false
16566,ZU,0.27,0.7,1.09,0.24,0.4,0.8,-0.41,false
16593,ZU,0.53,-0.04,-1.39,0.32,0.25,-0.12,0.2,false
16738,ZU,-0.09,-1.79,-0.54,1.02,1.39,1.15,1.78,false
16861,ZU,0.7,0.41,-0.54,1.02,1.39,1.15,1.78,false
17307,ZU,-0.58,0.07,-0.56,-0.96,-0.19,0.18,1.15,false
17386,ZU,-0.18,-0.52,-0.56,-0.96,-0.19,0.18,1.15,false
17395,ZU,0.74,0.45,0.3,0.35,0.16,1.6,0.9,false
17598,ZU,-0.94,-1.25,1.11,-0.12,0.15,-0.55,-0.7,true
17667,ZU,0.27,0.48,1.11,-0.12,0.15,-0.55,-0.7,true
17693,ZU,0.46,1.36,1.11,-0.12,0.15,-0.55,-0.7,true
17709,ZU,1.06,0.72,1.11,-0.12,0.15,-0.55,-0.7,true
17725,ZU,-2.08,-1.22,-1.37,1.35,-0.13,0.03,-0.4,true
17744,ZU,-0.82,1.3,-1.37,1.35,-0.13,0.03,-0.4,true
17762,ZU,-0.21,0.25,-1.37,1.35,-0.13,0.03,-0.4,true
17813,ZU,-1.57,0.63,-1.37,1.35,-0.13,0.03,-0.4,true
17832,ZU,0.36,1.2,-0.64,0.86,0.57,-0.99,-1.63,true
17954,ZU,-0.11,-1.0,0.39,0.13,-0.18,0.53,-0.39,true
18269,ZU,-0.52,-0.61,2.11,-1.27,2.26,-0.73,0.23,false
18299,ZU,0.0,0.21,2.11,-1.27,2.26,-0.73,0.23,false
18316,ZU,0.33,0.62,2.11,-1.27,2.26,-0.73,0.23,false
18400,ZU,-0.92,0.47,0.8,-0.14,-0.41,-0.12,1.21,true
18533,ZU,-1.02,-1.73,0.8,-0.14,-0.41,-0.12,1.21,true
18558,ZU,-0.88,0.43,-1.37,-1.51,1.34,-0.72,1.33,false
18566,ZU,0.44,0.3,-1.37,-1.51,1.34,-0.72,1.33,false
18639,ZU,0.22,-0.06,-1.37,-1.51,1.34,-0.72,1.33,false
18709,ZU,-0.07,2.17,-1.37,-1.51,1.34,-0.72,1.33,false
18852,ZU,-1.79,1.18,0.27,0.84,1.06,-0.38,-0.22,true
18899,ZU,0.56,-1.21,0.27,0.84,1.06,-0.38,-0.22,true
18997,ZU,0.78,0.83,0.11,-0.47,0.53,0.03,0.02,false
19003,ZU,-0.36,-0.28,0.42,1.87,1.74,0.46,1.51,false
19007,ZU,-0.91,-1.4,0.42,1.87,1.74,0.46,1.51,false
19050,ZU,0.29,0.06,0.38,-0.62,0.46,-0.32,0.75,false
19070,ZU,-0.5,1.36,0.38,-0.62,0.46,-0.32,0.75,false
19167,ZU,0.38,-2.34,0.48,0.53,-0.82,-0.72,1.02,true
19210,ZU,0.01,1.27,0.05,0.64,0.95,-1.23,-0.35,false
19250,ZU,-0.92,0.47,0.42,1.08,-0.8,1.02,-0.2,true
19407,ZU,0.33,0.47,-2.32,0.6,-0.04,-2.17,-0.98,false
19503,ZU,1.22,-0.3,0.27,-0.16,0.21,-0.16,-1.93,true
19521,ZU,0.94,0.0,0.27,-0.16,0.21,-0.16,-1.93,true
19738,ZU,-1.38,-0.94,-0.15,0.08,0.16,-0.34,1.23,true
19807,ZU,1.52,0.55,-0.03,-0.52,-1.05,-0.19,0.05,true
19874,ZU,-1.06,0.29,-0.03,-0.52,-1.05,-0.19,0.05,true
19986,ZU,0.18,0.42,-0.06,0.4,-0.76,2.23,-0.38,true
20167,ZU,-2.48,1.04,0.7,0.37,0.17,0.19,-1.01,true
20176,ZU,-0.14,2.01,-1.38,-0.76,1.38,-1.46,1.3,true
20286,ZU,0.61,-2.06,-1.23,0.48,0.12,-0.26,-1.14,false
20449,ZU,2.23,-0.27,-1.3,0.32,0.19,2.06,-0.83,true
20595,ZU,-0.64,-1.44,-0.52,-0.86,-0.2,1.26,0.05,false
20603,ZU,1.04,1.2,-0.52,-0.86,-0.2,1.26,0.05,false
20718,ZU,-0.75,-1.07,-0.52,-0.86,-0.2,1.26,0.05,false
20752,ZU,1.3,-0.32,0.49,-0.84,-0.67,0.65,0.5,false
21238,ZU,1.54,1.13,0.41,-0.55,0.25,0.02,0.73,false
21254,ZU,1.9,-0.12,0.41,-0.55,0.25,0.02,0.73,false
21347,ZU,-0.89,0.88,0.79,0.17,-0.9,-2.02,0.28,true
21369,ZU,-1.13,0.03,0.79,0.17,-0.9,-2.02,0.28,true
21369,ZU,-1.54,-0.44,0.79,0.17,-0.9,-2.02,0.28,true
21424,ZU,-0.78,-0.72,0.79,0.17,-0.9,-2.02,0.28,true
21470,ZU,0.05,-0.73,0.79,0.17,-0.9,-2.02,0.28,true
21487,ZU,-0.69,-1.15,0.54,1.57,-0.4,1.34,-0.97,true
21506,ZU,0.9,-0.36,0.54,1.57,-0.4,1.34,-0.97,true
21555,ZU,0.6,-1.96,0.54,1.57,-0.4,1.34,-0.97,true
21641,ZU,-0.36,-0.2,-0.57,-1.25,-0.23,0.42,-1.44,true
21765,ZU,1.37,-0.2,0.06,0.56,0.94,-0.04,-0.74,false
21766,ZU,0.98,0.78,0.06,0.56,0.94,-0.04,-0.74,false
21784,ZU,0.19,0.45,0.06,0.56,0.94,-0.04,-0.74,false
21853,ZU,-0.64,0.49,1.84,1.24,-1.0,-1.24,-0.23,false
21901,ZU,0.88,-0.75,1.45,1.01,-0.01,-2.42,0.77,false
21961,ZU,-0.43,1.32,0.29,0.34,-0.13,0.99,-1.32,false
22104,ZU,-0.53,-1.2,-0.12,-1.89,-0.98,-0.06,1.16,false
22154,ZU,1.15,-1.56,0.5,0.02,-0.18,-0.82,0.04,false
22215,ZU,-0.04,-0.53,0.5,0.02,-0.18,-0.82,0.04,false
22272,ZU,-0.48,-0.46,0.5,0.02,-0.18,-0.82,0.04,false
22425,ZU,-1.02,-0.8,0.55,0.42,0.07,1.47,-0.68,false
22537,ZU,-0.32,0.54,0.28,-0.11,0.92,-0.42,-0.44,false
22573,ZU,0.51,-0.81,0.28,-0.11,0.92,-0.42,-0.44,false
22788,ZU,-1.05,2.92,-0.03,1.6,0.27,1.94,-1.35,true
22938,ZU,-0.44,0.77,1.83,-0.5,-1.27,0.05,0.34,true
22984,ZU,-1.66,-0.76,1.83,-0.5,-1.27,0.05,0.34,true
23047,ZU,0.73,0.16,0.38,0.61,0.61,-0.93,0.43,false
23100,ZU,1.78,-0.37,0.38,0.61,0.61,-0.93,0.43,false
23116,ZU,0.33,1.03,0.38,0.61,0.61,-0.93,0.43,false
23140,ZU,-0.72,0.6,-0.64,-0.85,1.24,-0.79,-0.32,false
23168,ZU,-0.21,-2.54,-1.73,-1.52,-0.2,0.17,-0.29,false
23219,ZU,-0.33,0.41,-1.73,-1.52,-0.2,0.17,-0.29,false
23242,ZU,1.23,-0.11,0.7,-0.87,1.41,-0.67,0.77,true
23293,ZU,-0.72,-0.2,0.74,-0.01,-0.71,0.05,-1.49,false
23345,ZU,-2.88,-2.03,-1.69,1.07,0.68,0.03,1.09,true
23347,ZU,1.29,-0.47,-1.69,1.07,0.68,0.03,1.09,true
23404,ZU,0.08,-0.83,0.07,-0.72,-0.44,-0.13,1.33,false
23461,ZU,-1.32,0.12,0.07,-0.72,-0.44,-0.13,1.33,false
23537,ZU,-0.77,-0.9,-1.68,-0.26,-0.63,0.25,-1.18,true
23793,ZU,-0.03,-2.04,-0.27,0.49,0.74,-1.08,-0.31,true
23796,ZU,-1.32,-1.07,-0.27,0.49,0.74,-1.08,-0.31,true
23820,ZU,-1.19,1.27,-0.27,0.49,0.74,-1.08,-0.31,true
23893,ZU,-0.87,0.06,-0.27,0.49,0.74,-1.08,-0.31,true
23954,ZU,1.65,-2.3,-0.27,0.49,0.74,-1.08,-0.31,true
23979,ZU,-1.29,0.63,2.3,-0.76,1.43,-0.83,0.32,false
23999,ZU,1.0,0.31,0.43,-0.26,0.68,1.14,-0.14,true
24017,ZU,0.51,0.92,0.43,-0.26,0.68,1.14,-0.14,true
24064,ZU,-0.1,-0.73,-1.14,-0.13,0.04,0.84,2.39,false
24138,ZU,-1.62,-0.44,-2.1,1.89,-0.03,0.02,-1.1,true
24160,ZU,0.76,-0.36,-2.1,1.89,-0.03,0.02,-1.1,true
24285,ZU,0.0,0.07,1.55,0.21,-0.04,0.8,0.93,true
24347,ZU,1.8,1.09,1.55,0.21,-0.04,0.8,0.93,true
24458,ZU,-0.1,-1.47,1.55,0.21,-0.04,0.8,0.93,true
24506,ZU,-0.63,-1.48,-0.13,-0.91,0.2,-1.17,1.18,false
24510,ZU,0.58,-1.12,-0.13,-0.91,0.2,-1.17,1.18,false
24607,ZU,-0.05,2.81,-0.21,0.19,-1.19,1.61,2.33,false
181,AAOI,2.1,0.35,0.89,-0.41,1.96,-1.72,1.61,false
384,AAOI,-0.36,-0.15,0.43,0.26,-1.29,0.5,-0.79,true
408,AAOI,-0.98,-0.97,1.59,-0.09,0.69,1.11,-0.04,true
436,AAOI,-0.12,-0.91,1.59,-0.09,0.69,1.11,-0.04,true
460,AAOI,0.59,-0.78,1.59,-0.09,0.69,1.11,-0.04,true
471,AAOI,0.25,0.36,1.59,-0.09,0.69,1.11,-0.04,true
519,AAOI,-0.38,1.07,1.59,-0.09,0.69,1.11,-0.04,true
581,AAOI,0.65,-0.23,1.59,-0.09,0.69,1.11,-0.04,true
697,AAOI,-1.85,-0.63,1.38,0.62,-0.64,-0.81,-0.67,false
710,AAOI,0.22,1.5,1.38,0.62,-0.64,-0.81,-0.67,false
774,AAOI,1.69,0.09,0.41,-1.0,0.58,1.2,1.37,true
787,AAOI,0.91,0.39,0.41,-1.0,0.58,1.2,1.37,true
834,AAOI,-0.39,-0.46,0.04,0.46,-0.51,0.35,-0.32,false
881,AAOI,0.92,-1.34,0.04,0.46,-0.51,0.35,-0.32,false
1130,AAOI,0.94,0.7,-0.54,0.63,-0.2,-0.21,0.91,false
1169,AAOI,-0.7,0.39,2.7,0.3,-0.39,-1.34,-0.67,false
1200,AAOI,2.33,0.84,2.7,0.3,-0.39,-1.34,-0.67,false
1233,AAOI,-0.87,0.71,0.2,-0.56,-0.59,0.32,-0.42,true
1262,AAOI,-0.3,-0.39,0.2,-0.56,-0.59,0.32,-0.42,true
1367,AAOI,1.26,-1.54,2.16,0.73,1.03,-0.08,-0.02,true
1481,AAOI,1.2,0.94,0.09,-0.99,0.19,0.62,2.09,false
1504,AAOI,-0.33,-0.54,0.09,-0.99,0.19,0.62,2.09,false
1508,AAOI,-1.7,1.51,0.09,-0.99,0.19,0.62,2.09,false
1568,AAOI,-1.07,1.33,1.27,-1.17,-1.0,-0.8,0.83,true
1571,AAOI,-0.43,1.56,1.27,-1.17,-1.0,-0.8,0.83,true
1605,AAOI,-0.94,1.16,0.85,-1.61,0.43,0.35,1.03,false
1606,AAOI,0.13,-0.25,0.85,-1.61,0.43,0.35,1.03,false
1688,AAOI,-1.32,0.71,-0.35,-1.26,-0.32,-0.22,-0.7,false
1736,AAOI,-0.22,-0.07,-0.35,-1.26,-0.32,-0.22,-0.7,false
1764,AAOI,-0.09,1.77,-0.35,-1.26,-0.32,-0.22,-0.7,false
2231,AAOI,0.55,1.24,-1.46,-1.56,0.45,-0.55,0.82,false
2467,AAOI,-0.29,-0.36,-0.59,3.11,-0.66,-1.49,0.28,true
2470,AAOI,-0.81,0.47,-0.59,3.11,-0.66,-1.49,0.28,true
2537,AAOI,-1.15,0.29,-0.59,3.11,-0.66,-1.49,0.28,true
2614,AAOI,0.08,-0.71,-0.59,3.11,-0.66,-1.49,0.28,true
2766,AAOI,0.93,0.45,-0.2,2.36,1.27,-0.06,0.06,true
2862,AAOI,-0.66,-0.21,-1.29,1.74,-0.42,0.03,-0.79,true
2947,AAOI,-1.68,0.22,-0.37,-0.16,1.11,1.25,0.82,true
3088,AAOI,1.03,0.69,-0.49,-0.71,-1.11,-2.16,-1.39,true
